"ID","Use","General Category","AC/A","AC/C-1","AC/R-2A","AF","AGR","BA","BI","BT","BUS","CCD","CON","CP","ED","I-1","I-2","MD","MH","MU-1","MU-2","OF","OR","PD","PS","RC","RH-1","RH-2","RMF-5","RMF-6","RMF-7","RMF-8","RMU","ROW","RSF-1","RSF-2","RSF-3","RSF-4","UMU-1","UMU-2","W"
1,"Adult Performance Establishment","COMMUNICATIONS","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
2,"Escort service ","Radio wire or background music","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
3,"Hatchery  ","Radio/TV—Studio for O/C station","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","N"
4,"Nursery-shrubs, trees & plants ","Radio/TV/cable mobile studio","N","N","N","N","Y","N","Y","N","N","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
5,"Sand, dirt, rock or shell ","GAS","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
6,"Wood & coal yards ","STORAGE","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
7,"Contractors/sub-contractors","TRANSPORTATION","N","N","N","N","N","N","Y","N","Y","Y","N","Y","Y","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
8,"Signs-installation Contractors","Auto—Salvage yard","N","N","N","N","N","N","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
9,"Tree service—Including Trimming & Pruning","Peddler (On roadways moving to various locations)","N","N","N","N","Y","N","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","Y","Y","Y"
10,"Bottling plant &/or distributor ","Auto - Brake & Tire Shop","N","N","N","N","N","N","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","N","N","N","Y"
